date,value
2023-02-28,3959.34
2023-03-01,3936.93
2023-03-02,3930.22
2023-03-03,3953.22
2023-03-06,4009.15
2023-03-07,3989.63
2023-03-08,3963.53
2023-03-09,4007.73
2023-03-10,3942.53
2023-03-13,3908.72
2023-03-14,3952.42
2023-03-15,3947.63
2023-03-16,3943.44
2023-03-17,4026.54
2023-03-20,4003.94
2023-03-21,3982.25
2023-03-22,4028.51
2023-03-23,4064.99
2023-03-24,4044.04
2023-03-27,3994.25
2023-03-28,4014.12
2023-03-29,4078.50
2023-03-30,4141.98
2023-03-31,4191.61
2023-04-03,4189.44
2023-04-04,4180.77
2023-04-05,4109.44
2023-04-06,4146.22
2023-04-07,4108.99
2023-04-10,4104.57
2023-04-11,4036.81
2023-04-12,3971.35
2023-04-13,4050.81
2023-04-14,3941.78
2023-04-17,4026.78
2023-04-18,4035.29
2023-04-19,4046.28
2023-04-20,4048.17
2023-04-21,4007.72
2023-04-24,4104.34
2023-04-25,4065.91
2023-04-26,4053.61
2023-04-27,3998.33
2023-04-28,3980.61
2023-05-01,3976.17
2023-05-02,3937.88
2023-05-03,3996.12
2023-05-04,3849.23
2023-05-05,3834.09
2023-05-08,3887.28
2023-05-09,3828.08
2023-05-10,3837.34
2023-05-11,3793.56
2023-05-12,3836.21
2023-05-15,3883.81
2023-05-16,3870.18
2023-05-17,3884.26
2023-05-18,3705.55
2023-05-19,3760.25
2023-05-22,3707.71
2023-05-23,3720.77
2023-05-24,3774.12
2023-05-25,3820.25
2023-05-26,3794.85
2023-05-29,3831.75
2023-05-30,3893.21
2023-05-31,3917.51
2023-06-01,3942.16
2023-06-02,4005.53
2023-06-05,3962.18
2023-06-06,4068.05
2023-06-07,4094.63
2023-06-08,4130.78
2023-06-09,4152.52
2023-06-12,4062.74
2023-06-13,4057.93
2023-06-14,4086.75
2023-06-15,4110.88
2023-06-16,4092.82
2023-06-19,4072.18
2023-06-20,4107.83
2023-06-21,4084.80
2023-06-22,4094.04
2023-06-23,4082.94
2023-06-26,4092.48
2023-06-27,4034.01
2023-06-28,4031.00
2023-06-29,3999.62
2023-06-30,4027.89
2023-07-03,4010.47
2023-07-04,4072.70
2023-07-05,4045.87
2023-07-06,4018.04
2023-07-07,4075.13
2023-07-10,4090.15
2023-07-11,4065.28
2023-07-12,4099.65
2023-07-13,4109.29
2023-07-14,4235.29
2023-07-17,4279.65
2023-07-18,4223.30
2023-07-19,4237.07
2023-07-20,4217.34
2023-07-21,4239.49
2023-07-24,4333.15
2023-07-25,4390.84
2023-07-26,4448.91
2023-07-27,4393.73
2023-07-28,4310.46
2023-07-31,4304.56
2023-08-01,4362.96
2023-08-02,4430.82
2023-08-03,4518.82
2023-08-04,4540.50
2023-08-07,4490.94
2023-08-08,4535.93
2023-08-09,4589.58
2023-08-10,4652.39
2023-08-11,4673.05
2023-08-14,4691.07
2023-08-15,4650.64
2023-08-16,4674.35
2023-08-17,4616.60
2023-08-18,4567.37
2023-08-21,4593.50
2023-08-22,4579.06
2023-08-23,4690.87
2023-08-24,4689.96
2023-08-25,4684.62
2023-08-28,4768.86
2023-08-29,4730.69
2023-08-30,4682.39
2023-08-31,4605.86
2023-09-01,4491.80
2023-09-04,4563.26
2023-09-05,4409.04
2023-09-06,4381.60
2023-09-07,4382.95
2023-09-08,4363.06
2023-09-11,4399.60
2023-09-12,4462.23
2023-09-13,4406.04
2023-09-14,4439.76
2023-09-15,4474.62
2023-09-18,4439.39
2023-09-19,4369.89
2023-09-20,4405.10
2023-09-21,4549.20
2023-09-22,4602.24
2023-09-25,4613.31
2023-09-26,4636.47
2023-09-27,4661.30
2023-09-28,4569.33
2023-09-29,4546.85
2023-10-02,4531.66
2023-10-03,4594.17
2023-10-04,4507.45
2023-10-05,4566.07
2023-10-06,4474.91
2023-10-09,4427.65
2023-10-10,4486.90
2023-10-11,4504.39
2023-10-12,4408.83
2023-10-13,4375.09
2023-10-16,4292.38
2023-10-17,4317.34
2023-10-18,4259.77
2023-10-19,4258.18
2023-10-20,4257.05
2023-10-23,4239.24
2023-10-24,4078.01
2023-10-25,4087.35
2023-10-26,4175.86
2023-10-27,4157.07
2023-10-30,4173.30
2023-10-31,4130.84
2023-11-01,4151.12
2023-11-02,4061.95
2023-11-03,4036.52
2023-11-06,4039.76
2023-11-07,4062.63
2023-11-08,4022.33
2023-11-09,4037.69
2023-11-10,4074.00
2023-11-13,4071.06
2023-11-14,4113.36
2023-11-15,4121.27
2023-11-16,4050.22
2023-11-17,3996.82
2023-11-20,4021.47
2023-11-21,4024.99
2023-11-22,4043.17
2023-11-23,4054.20
2023-11-24,4066.04
2023-11-27,4036.69
2023-11-28,4034.39
2023-11-29,4006.33
2023-11-30,3961.40
2023-12-01,3927.87
2023-12-04,3978.34
2023-12-05,3926.25
2023-12-06,3893.24
2023-12-07,3887.96
2023-12-08,3905.39
2023-12-11,3983.73
2023-12-12,3961.55
2023-12-13,4013.23
2023-12-14,4035.27
2023-12-15,3944.95
2023-12-18,4036.54
2023-12-19,4047.89
2023-12-20,4121.43
2023-12-21,4059.19
2023-12-22,4040.63
2023-12-25,3902.83
2023-12-26,3937.88
2023-12-27,3985.65
2023-12-28,3961.58
2023-12-29,3936.98
2024-01-01,3956.37
2024-01-02,3906.66
2024-01-03,3946.53
2024-01-04,3951.09
2024-01-05,3950.29
2024-01-08,3989.48
2024-01-09,4089.31
2024-01-10,4078.81
2024-01-11,4148.88
2024-01-12,4078.18
2024-01-15,4002.25
2024-01-16,3968.17
2024-01-17,3953.98
2024-01-18,3855.48
2024-01-19,3782.79
2024-01-22,3864.47
2024-01-23,3887.28
2024-01-24,3798.07
2024-01-25,3793.95
2024-01-26,3802.27
2024-01-29,3805.20
2024-01-30,3866.69
2024-01-31,3934.06
2024-02-01,3883.69
2024-02-02,3841.97
2024-02-05,3792.34
2024-02-06,3713.30
2024-02-07,3700.78
2024-02-08,3646.33
2024-02-09,3649.17
2024-02-12,3656.17
2024-02-13,3649.14
2024-02-14,3641.12
2024-02-15,3665.15
2024-02-16,3639.22
2024-02-19,3605.68
2024-02-20,3653.32
2024-02-21,3512.35
2024-02-22,3482.01
2024-02-23,3519.52
2024-02-26,3484.14
2024-02-27,3480.82
2024-02-28,3461.35
2024-02-29,3451.86
2024-03-01,3457.13
2024-03-04,3553.80
2024-03-05,3556.13
2024-03-06,3551.28
2024-03-07,3638.80
2024-03-08,3648.77
2024-03-11,3664.61
2024-03-12,3645.40
2024-03-13,3667.40
2024-03-14,3628.28
2024-03-15,3693.07
2024-03-18,3731.00
2024-03-19,3762.51
2024-03-20,3708.57
2024-03-21,3713.49
2024-03-22,3604.73
2024-03-25,3659.95
2024-03-26,3703.55
2024-03-27,3730.70
2024-03-28,3784.27
2024-03-29,3828.82
2024-04-01,3936.43
2024-04-02,3902.89
2024-04-03,3925.34
2024-04-04,3855.67
2024-04-05,3860.29
2024-04-08,3887.51
2024-04-09,3842.23
2024-04-10,3893.53
2024-04-11,3991.05
2024-04-12,3960.15
2024-04-15,4028.08
2024-04-16,4030.32
2024-04-17,3992.62
2024-04-18,3977.53
2024-04-19,3983.39
2024-04-22,3889.55
2024-04-23,3938.24
2024-04-24,3998.58
2024-04-25,3963.40
2024-04-26,3964.77
2024-04-29,4017.40
2024-04-30,3971.17
2024-05-01,4018.79
2024-05-02,4002.10
2024-05-03,3889.52
2024-05-06,3947.98
2024-05-07,3879.32
2024-05-08,3826.04
2024-05-09,3844.14
2024-05-10,3789.15
2024-05-13,3784.27
2024-05-14,3780.14
2024-05-15,3743.66
2024-05-16,3799.96
2024-05-17,3760.25
2024-05-20,3752.88
2024-05-21,3751.47
2024-05-22,3811.08
2024-05-23,3853.67
2024-05-24,3866.77
2024-05-27,3854.76
2024-05-28,3926.74
2024-05-29,3926.33
2024-05-30,3914.38
2024-05-31,3834.77
2024-06-03,3794.36
2024-06-04,3651.22
2024-06-05,3621.89
2024-06-06,3606.22
2024-06-07,3641.83
2024-06-10,3681.97
2024-06-11,3758.36
2024-06-12,3717.95
2024-06-13,3755.81
2024-06-14,3742.55
2024-06-17,3717.40
2024-06-18,3655.75
2024-06-19,3736.15
2024-06-20,3751.03
2024-06-21,3721.77
2024-06-24,3751.54
2024-06-25,3807.99
2024-06-26,3808.04
2024-06-27,3875.03
2024-06-28,3921.07
2024-07-01,3944.73
2024-07-02,3918.40
2024-07-03,3858.67
2024-07-04,3911.14
2024-07-05,3879.48
2024-07-08,3839.33
2024-07-09,3732.93
2024-07-10,3664.99
2024-07-11,3617.49
2024-07-12,3757.09
2024-07-15,3787.87
2024-07-16,3846.75
2024-07-17,3850.65
2024-07-18,3864.30
2024-07-19,3819.61
2024-07-22,3921.45
2024-07-23,3936.65
2024-07-24,3916.68
2024-07-25,3915.66
2024-07-26,3933.54
2024-07-29,3913.53
2024-07-30,3849.29
2024-07-31,3816.27
2024-08-01,3775.39
2024-08-02,3768.10
2024-08-05,3867.48
2024-08-06,3915.85
2024-08-07,3953.79
2024-08-08,4038.01
2024-08-09,4009.00
2024-08-12,3967.99
2024-08-13,3950.26
2024-08-14,3879.35
2024-08-15,3942.69
2024-08-16,3911.17
2024-08-19,3836.42
2024-08-20,3774.44
2024-08-21,3810.03
2024-08-22,3735.51
2024-08-23,3832.87
2024-08-26,3872.54
2024-08-27,3894.19
2024-08-28,3893.64
2024-08-29,3914.87
2024-08-30,3835.31
2024-09-02,3757.31
2024-09-03,3611.25
2024-09-04,3613.51
2024-09-05,3619.89
2024-09-06,3605.03
2024-09-09,3646.72
2024-09-10,3681.66
2024-09-11,3728.98
2024-09-12,3678.80
2024-09-13,3721.55
2024-09-16,3704.86
2024-09-17,3645.25
2024-09-18,3641.64
2024-09-19,3664.28
2024-09-20,3615.58
2024-09-23,3606.85
2024-09-24,3553.59
2024-09-25,3586.59
2024-09-26,3582.22
2024-09-27,3530.14
2024-09-30,3430.81
2024-10-01,3450.26
2024-10-02,3440.86
2024-10-03,3423.50
2024-10-04,3512.08
2024-10-07,3609.53
2024-10-08,3572.96
2024-10-09,3504.65
2024-10-10,3477.65
2024-10-11,3566.14
2024-10-14,3514.36
2024-10-15,3450.27
2024-10-16,3352.28
2024-10-17,3351.64
2024-10-18,3336.88
2024-10-21,3346.16
2024-10-22,3327.07
2024-10-23,3291.83
2024-10-24,3215.27
2024-10-25,3273.43
2024-10-28,3282.23
2024-10-29,3335.70
2024-10-30,3417.46
2024-10-31,3469.20
2024-11-01,3473.32
2024-11-04,3513.12
2024-11-05,3571.77
2024-11-06,3606.56
2024-11-07,3624.39
2024-11-08,3585.70
2024-11-11,3548.03
2024-11-12,3523.35
2024-11-13,3503.91
2024-11-14,3493.50
2024-11-15,3481.48
2024-11-18,3457.22
2024-11-19,3527.51
2024-11-20,3575.58
2024-11-21,3526.41
2024-11-22,3565.63
2024-11-25,3614.97
2024-11-26,3587.89
2024-11-27,3624.97
2024-11-28,3581.40
2024-11-29,3594.69
2024-12-02,3517.84
2024-12-03,3496.21
2024-12-04,3459.29
2024-12-05,3419.73
2024-12-06,3427.69
2024-12-09,3527.90
2024-12-10,3560.62
2024-12-11,3678.90
2024-12-12,3654.14
2024-12-13,3621.29
2024-12-16,3675.34
2024-12-17,3664.16
2024-12-18,3760.53
2024-12-19,3762.22
2024-12-20,3749.80
2024-12-23,3740.84
2024-12-24,3711.94
2024-12-25,3682.42
2024-12-26,3758.49
2024-12-27,3738.91
2024-12-30,3759.63
2024-12-31,3707.53
