id,instrument,direction,quantity,opened_at,closed_at,open_price,close_price,commission,net_pnl,setup
W0021,ESZ4,Short,2.0,2021-06-29 09:45:00,2021-06-29 12:45:00,4274.75,4275.75,8.40,-108.40,trend
W0022,ESZ4,Short,2.0,2021-06-30 09:45:00,2021-06-30 11:45:00,4559.50,4557.50,8.40,191.60,trend
W0023,ESZ4,Short,2.0,2021-07-01 09:45:00,2021-07-01 12:45:00,4500.50,4501.75,8.40,-133.40,trend
W0024,ESZ4,Short,2.0,2021-07-02 09:45:00,2021-07-02 10:45:00,4926.00,4917.25,8.40,866.60,trend
W0025,ESZ4,Long,2.0,2021-07-05 09:45:00,2021-07-05 14:45:00,4331.50,4325.75,8.40,-583.40,trend
W0026,ESZ4,Short,2.0,2021-07-06 09:45:00,2021-07-06 11:45:00,5123.75,5124.50,8.40,-83.40,trend
W0027,ESZ4,Long,2.0,2021-07-07 09:45:00,2021-07-07 13:45:00,4427.00,4415.75,8.40,-1133.40,trend
W0028,ESZ4,Long,2.0,2021-07-08 09:45:00,2021-07-08 14:45:00,4300.25,4301.75,8.40,141.60,trend
W0029,ESZ4,Long,2.0,2021-07-09 09:45:00,2021-07-09 13:45:00,4432.00,4438.50,8.40,641.60,trend
W0030,ESZ4,Long,2.0,2021-07-12 09:45:00,2021-07-12 12:45:00,4249.25,4252.75,8.40,341.60,trend
W0031,ESZ4,Short,2.0,2021-07-13 09:45:00,2021-07-13 13:45:00,4757.25,4757.75,8.40,-58.40,trend
W0032,ESZ4,Long,2.0,2021-07-14 09:45:00,2021-07-14 14:45:00,4292.75,4296.25,8.40,341.60,trend
W0033,ESZ4,Short,2.0,2021-07-15 09:45:00,2021-07-15 12:45:00,5193.50,5189.50,8.40,391.60,trend
W0034,ESZ4,Short,2.0,2021-07-16 09:45:00,2021-07-16 10:45:00,4741.75,4735.00,8.40,666.60,trend
W0035,ESZ4,Long,2.0,2021-07-19 09:45:00,2021-07-19 10:45:00,4285.25,4285.00,8.40,-33.40,trend
W0036,ESZ4,Long,2.0,2021-07-20 09:45:00,2021-07-20 14:45:00,4409.50,4412.25,8.40,266.60,trend
W0037,ESZ4,Short,2.0,2021-07-21 09:45:00,2021-07-21 13:45:00,5031.00,5034.00,8.40,-308.40,trend
W0038,ESZ4,Long,2.0,2021-07-22 09:45:00,2021-07-22 11:45:00,4246.75,4247.00,8.40,16.60,trend
W0039,ESZ4,Short,2.0,2021-07-23 09:45:00,2021-07-23 12:45:00,4225.00,4225.50,8.40,-58.40,trend
W0040,ESZ4,Short,2.0,2021-07-26 09:45:00,2021-07-26 14:45:00,5053.75,5061.50,8.40,-783.40,trend
W0041,ESZ4,Long,2.0,2021-07-27 09:45:00,2021-07-27 11:45:00,5196.25,5191.25,8.40,-508.40,trend
W0042,ESZ4,Short,2.0,2021-07-28 09:45:00,2021-07-28 10:45:00,4448.75,4453.75,8.40,-508.40,trend
W0043,ESZ4,Long,2.0,2021-07-29 09:45:00,2021-07-29 13:45:00,4725.75,4732.75,8.40,691.60,trend
W0044,ESZ4,Long,2.0,2021-07-30 09:45:00,2021-07-30 10:45:00,4482.75,4480.75,8.40,-208.40,trend
W0045,ESZ4,Long,2.0,2021-08-02 09:45:00,2021-08-02 10:45:00,4250.50,4262.75,8.40,1216.60,trend
W0046,ESZ4,Short,2.0,2021-08-03 09:45:00,2021-08-03 14:45:00,4889.00,4891.25,8.40,-233.40,trend
W0047,ESZ4,Long,2.0,2021-08-04 09:45:00,2021-08-04 14:45:00,4226.00,4219.75,8.40,-633.40,trend
W0048,ESZ4,Short,2.0,2021-08-05 09:45:00,2021-08-05 10:45:00,4350.00,4347.00,8.40,291.60,trend
W0049,ESZ4,Short,2.0,2021-08-06 09:45:00,2021-08-06 12:45:00,5152.75,5156.75,8.40,-408.40,trend
W0050,ESZ4,Short,2.0,2021-08-09 09:45:00,2021-08-09 11:45:00,4485.25,4485.00,8.40,16.60,trend
W0051,ESZ4,Short,2.0,2021-08-10 09:45:00,2021-08-10 14:45:00,4809.00,4806.25,8.40,266.60,trend
W0052,ESZ4,Long,2.0,2021-08-11 09:45:00,2021-08-11 14:45:00,5019.50,5022.50,8.40,291.60,trend
W0053,ESZ4,Short,2.0,2021-08-12 09:45:00,2021-08-12 14:45:00,5072.25,5071.50,8.40,66.60,trend
W0054,ESZ4,Long,2.0,2021-08-13 09:45:00,2021-08-13 14:45:00,5068.00,5063.75,8.40,-433.40,trend
W0055,ESZ4,Long,2.0,2021-08-16 09:45:00,2021-08-16 14:45:00,4699.00,4697.00,8.40,-208.40,trend
W0056,ESZ4,Long,2.0,2021-08-17 09:45:00,2021-08-17 11:45:00,4267.50,4272.75,8.40,516.60,trend
W0057,ESZ4,Long,2.0,2021-08-18 09:45:00,2021-08-18 11:45:00,4297.00,4290.25,8.40,-683.40,trend
W0058,ESZ4,Long,2.0,2021-08-19 09:45:00,2021-08-19 11:45:00,4349.25,4346.50,8.40,-283.40,trend
W0059,ESZ4,Short,2.0,2021-08-20 09:45:00,2021-08-20 10:45:00,5016.00,5020.75,8.40,-483.40,trend
W0060,ESZ4,Short,2.0,2021-08-23 09:45:00,2021-08-23 12:45:00,5189.25,5176.25,8.40,1291.60,trend
W0061,ESZ4,Long,2.0,2021-08-24 09:45:00,2021-08-24 11:45:00,4647.50,4642.00,8.40,-558.40,trend
W0062,ESZ4,Long,2.0,2021-08-25 09:45:00,2021-08-25 10:45:00,4554.75,4557.50,8.40,266.60,trend
W0063,ESZ4,Long,2.0,2021-08-26 09:45:00,2021-08-26 11:45:00,4330.75,4325.25,8.40,-558.40,trend
W0064,ESZ4,Long,2.0,2021-08-27 09:45:00,2021-08-27 13:45:00,4781.00,4779.50,8.40,-158.40,trend
W0065,ESZ4,Short,2.0,2021-08-30 09:45:00,2021-08-30 13:45:00,4718.25,4731.75,8.40,-1358.40,trend
W0066,ESZ4,Short,2.0,2021-08-31 09:45:00,2021-08-31 11:45:00,4696.00,4697.00,8.40,-108.40,trend
W0067,ESZ4,Long,2.0,2021-09-01 09:45:00,2021-09-01 14:45:00,4891.00,4892.25,8.40,116.60,trend
W0068,ESZ4,Long,2.0,2021-09-02 09:45:00,2021-09-02 13:45:00,4953.75,4956.50,8.40,266.60,trend
W0069,ESZ4,Short,2.0,2021-09-03 09:45:00,2021-09-03 14:45:00,5100.00,5096.75,8.40,316.60,trend
W0070,ESZ4,Long,2.0,2021-09-06 09:45:00,2021-09-06 12:45:00,5165.25,5164.75,8.40,-58.40,trend
W0071,ESZ4,Short,2.0,2021-09-07 09:45:00,2021-09-07 11:45:00,4801.50,4797.25,8.40,416.60,trend
W0072,ESZ4,Long,2.0,2021-09-08 09:45:00,2021-09-08 10:45:00,5181.00,5189.25,8.40,816.60,trend
W0073,ESZ4,Short,2.0,2021-09-09 09:45:00,2021-09-09 14:45:00,4549.75,4554.75,8.40,-508.40,trend
W0074,ESZ4,Long,2.0,2021-09-10 09:45:00,2021-09-10 10:45:00,5191.00,5190.25,8.40,-83.40,trend
W0075,ESZ4,Short,2.0,2021-09-13 09:45:00,2021-09-13 10:45:00,4946.25,4948.00,8.40,-183.40,trend
W0076,ESZ4,Short,2.0,2021-09-14 09:45:00,2021-09-14 14:45:00,4246.50,4249.00,8.40,-258.40,trend
W0077,ESZ4,Short,2.0,2021-09-15 09:45:00,2021-09-15 14:45:00,4519.50,4514.50,8.40,491.60,trend
W0078,ESZ4,Long,2.0,2021-09-16 09:45:00,2021-09-16 13:45:00,4972.25,4974.75,8.40,241.60,trend
W0079,ESZ4,Long,2.0,2021-09-17 09:45:00,2021-09-17 13:45:00,4938.75,4937.25,8.40,-158.40,trend
W0080,ESZ4,Long,2.0,2021-09-20 09:45:00,2021-09-20 10:45:00,4328.25,4326.25,8.40,-208.40,trend
W0081,ESZ4,Short,2.0,2021-09-21 09:45:00,2021-09-21 10:45:00,4302.75,4303.75,8.40,-108.40,trend
W0082,ESZ4,Short,2.0,2021-09-22 09:45:00,2021-09-22 10:45:00,5120.00,5123.25,8.40,-333.40,trend
W0083,ESZ4,Short,2.0,2021-09-23 09:45:00,2021-09-23 13:45:00,4730.00,4730.50,8.40,-58.40,trend
W0084,ESZ4,Long,2.0,2021-09-24 09:45:00,2021-09-24 10:45:00,4857.75,4866.00,8.40,816.60,trend
W0085,ESZ4,Long,2.0,2021-09-27 09:45:00,2021-09-27 13:45:00,4349.25,4349.00,8.40,-33.40,trend
W0086,ESZ4,Short,2.0,2021-09-28 09:45:00,2021-09-28 11:45:00,4474.75,4485.00,8.40,-1033.40,trend
W0087,ESZ4,Short,2.0,2021-09-29 09:45:00,2021-09-29 12:45:00,4487.00,4484.00,8.40,291.60,trend
W0088,ESZ4,Short,2.0,2021-09-30 09:45:00,2021-09-30 11:45:00,4374.00,4369.25,8.40,466.60,trend
W0089,ESZ4,Long,2.0,2021-10-01 09:45:00,2021-10-01 10:45:00,4517.00,4519.75,8.40,266.60,trend
W0090,ESZ4,Short,2.0,2021-10-04 09:45:00,2021-10-04 11:45:00,4800.25,4798.25,8.40,191.60,trend
W0091,ESZ4,Long,2.0,2021-10-05 09:45:00,2021-10-05 10:45:00,4282.00,4286.25,8.40,416.60,trend
W0092,ESZ4,Long,2.0,2021-10-06 09:45:00,2021-10-06 10:45:00,4940.50,4941.25,8.40,66.60,trend
W0093,ESZ4,Long,2.0,2021-10-07 09:45:00,2021-10-07 10:45:00,4887.50,4885.75,8.40,-183.40,trend
W0094,ESZ4,Long,2.0,2021-10-08 09:45:00,2021-10-08 14:45:00,4964.00,4962.00,8.40,-208.40,trend
W0095,ESZ4,Short,2.0,2021-10-11 09:45:00,2021-10-11 13:45:00,4914.50,4908.50,8.40,591.60,trend
W0096,ESZ4,Short,2.0,2021-10-12 09:45:00,2021-10-12 10:45:00,4638.50,4637.00,8.40,141.60,trend
W0097,ESZ4,Long,2.0,2021-10-13 09:45:00,2021-10-13 14:45:00,4438.50,4440.75,8.40,216.60,trend
W0098,ESZ4,Long,2.0,2021-10-14 09:45:00,2021-10-14 13:45:00,4438.00,4442.25,8.40,416.60,trend
W0099,ESZ4,Short,2.0,2021-10-15 09:45:00,2021-10-15 13:45:00,5066.25,5068.75,8.40,-258.40,trend
W0100,ESZ4,Short,2.0,2021-10-18 09:45:00,2021-10-18 12:45:00,4202.75,4201.75,8.40,91.60,trend
W0101,ESZ4,Short,2.0,2021-10-19 09:45:00,2021-10-19 11:45:00,4806.25,4796.75,8.40,941.60,trend
W0102,ESZ4,Long,2.0,2021-10-20 09:45:00,2021-10-20 14:45:00,5070.25,5074.00,8.40,366.60,trend
W0103,ESZ4,Long,2.0,2021-10-21 09:45:00,2021-10-21 12:45:00,4323.25,4319.50,8.40,-383.40,trend
W0104,ESZ4,Long,2.0,2021-10-22 09:45:00,2021-10-22 14:45:00,4978.25,4983.75,8.40,541.60,trend
W0105,ESZ4,Short,2.0,2021-10-25 09:45:00,2021-10-25 14:45:00,5080.00,5085.50,8.40,-558.40,trend
W0106,ESZ4,Short,2.0,2021-10-26 09:45:00,2021-10-26 14:45:00,4961.00,4966.00,8.40,-508.40,trend
W0107,ESZ4,Short,2.0,2021-10-27 09:45:00,2021-10-27 12:45:00,4731.75,4725.00,8.40,666.60,trend
W0108,ESZ4,Short,2.0,2021-10-28 09:45:00,2021-10-28 10:45:00,4491.50,4483.50,8.40,791.60,trend
W0109,ESZ4,Short,2.0,2021-10-29 09:45:00,2021-10-29 10:45:00,4296.75,4298.50,8.40,-183.40,trend
W0110,ESZ4,Short,2.0,2021-11-01 09:45:00,2021-11-01 14:45:00,4645.00,4645.25,8.40,-33.40,trend
W0111,ESZ4,Long,2.0,2021-11-02 09:45:00,2021-11-02 10:45:00,4856.75,4861.25,8.40,441.60,trend
W0112,ESZ4,Long,2.0,2021-11-03 09:45:00,2021-11-03 12:45:00,4696.50,4687.75,8.40,-883.40,trend
W0113,ESZ4,Long,2.0,2021-11-04 09:45:00,2021-11-04 14:45:00,4667.00,4680.25,8.40,1316.60,trend
W0114,ESZ4,Short,2.0,2021-11-05 09:45:00,2021-11-05 11:45:00,4335.25,4328.75,8.40,641.60,trend
W0115,ESZ4,Short,2.0,2021-11-08 09:45:00,2021-11-08 14:45:00,4315.50,4304.00,8.40,1141.60,trend
W0116,ESZ4,Short,2.0,2021-11-09 09:45:00,2021-11-09 11:45:00,4622.50,4622.50,8.40,-8.40,trend
W0117,ESZ4,Short,2.0,2021-11-10 09:45:00,2021-11-10 13:45:00,4322.75,4321.00,8.40,166.60,trend
W0118,ESZ4,Short,2.0,2021-11-11 09:45:00,2021-11-11 13:45:00,5090.00,5092.00,8.40,-208.40,trend
W0119,ESZ4,Short,2.0,2021-11-12 09:45:00,2021-11-12 12:45:00,4923.25,4912.50,8.40,1066.60,trend
W0120,ESZ4,Short,2.0,2021-11-15 09:45:00,2021-11-15 13:45:00,4902.75,4906.75,8.40,-408.40,trend
W0121,ESZ4,Long,2.0,2021-11-16 09:45:00,2021-11-16 14:45:00,5053.50,5045.50,8.40,-808.40,trend
W0122,ESZ4,Long,2.0,2021-11-17 09:45:00,2021-11-17 10:45:00,4597.00,4593.00,8.40,-408.40,trend
W0123,ESZ4,Short,2.0,2021-11-18 09:45:00,2021-11-18 13:45:00,5115.75,5112.75,8.40,291.60,trend
W0124,ESZ4,Short,2.0,2021-11-19 09:45:00,2021-11-19 11:45:00,4571.00,4577.00,8.40,-608.40,trend
W0125,ESZ4,Long,2.0,2021-11-22 09:45:00,2021-11-22 13:45:00,4771.50,4773.75,8.40,216.60,trend
W0126,ESZ4,Short,2.0,2021-11-23 09:45:00,2021-11-23 12:45:00,5123.75,5117.75,8.40,591.60,trend
W0127,ESZ4,Long,2.0,2021-11-24 09:45:00,2021-11-24 10:45:00,4966.25,4957.25,8.40,-908.40,trend
W0128,ESZ4,Long,2.0,2021-11-25 09:45:00,2021-11-25 13:45:00,5178.25,5184.00,8.40,566.60,trend
W0129,ESZ4,Short,2.0,2021-11-26 09:45:00,2021-11-26 14:45:00,4242.25,4241.50,8.40,66.60,trend
W0130,ESZ4,Short,2.0,2021-11-29 09:45:00,2021-11-29 14:45:00,4322.25,4323.25,8.40,-108.40,trend
W0131,ESZ4,Short,2.0,2021-11-30 09:45:00,2021-11-30 12:45:00,4996.25,4999.75,8.40,-358.40,trend
W0132,ESZ4,Short,2.0,2021-12-01 09:45:00,2021-12-01 14:45:00,4995.75,4987.00,8.40,866.60,trend
W0133,ESZ4,Long,2.0,2021-12-02 09:45:00,2021-12-02 10:45:00,4811.50,4809.25,8.40,-233.40,trend
W0134,ESZ4,Long,2.0,2021-12-03 09:45:00,2021-12-03 12:45:00,4982.50,4983.00,8.40,41.60,trend
W0135,ESZ4,Long,2.0,2021-12-06 09:45:00,2021-12-06 13:45:00,4296.25,4299.50,8.40,316.60,trend
W0136,ESZ4,Short,2.0,2021-12-07 09:45:00,2021-12-07 11:45:00,4540.75,4552.00,8.40,-1133.40,trend
W0137,ESZ4,Long,2.0,2021-12-08 09:45:00,2021-12-08 11:45:00,4247.25,4244.50,8.40,-283.40,trend
W0138,ESZ4,Long,2.0,2021-12-09 09:45:00,2021-12-09 10:45:00,4633.75,4631.00,8.40,-283.40,trend
W0139,ESZ4,Long,2.0,2021-12-10 09:45:00,2021-12-10 10:45:00,5031.00,5034.00,8.40,291.60,trend
W0140,ESZ4,Long,2.0,2021-12-13 09:45:00,2021-12-13 14:45:00,4402.50,4390.75,8.40,-1183.40,trend
W0141,ESZ4,Short,2.0,2021-12-14 09:45:00,2021-12-14 12:45:00,4504.00,4509.50,8.40,-558.40,trend
W0142,ESZ4,Short,2.0,2021-12-15 09:45:00,2021-12-15 14:45:00,4616.25,4616.25,8.40,-8.40,trend
W0143,ESZ4,Long,2.0,2021-12-16 09:45:00,2021-12-16 13:45:00,4712.75,4708.00,8.40,-483.40,trend
W0144,ESZ4,Short,2.0,2021-12-17 09:45:00,2021-12-17 12:45:00,4455.25,4459.50,8.40,-433.40,trend
W0145,ESZ4,Short,2.0,2021-12-20 09:45:00,2021-12-20 12:45:00,4368.00,4361.25,8.40,666.60,trend
W0146,ESZ4,Long,2.0,2021-12-21 09:45:00,2021-12-21 14:45:00,4900.25,4899.00,8.40,-133.40,trend
W0147,ESZ4,Short,2.0,2021-12-22 09:45:00,2021-12-22 13:45:00,4864.25,4871.00,8.40,-683.40,trend
W0148,ESZ4,Long,2.0,2021-12-23 09:45:00,2021-12-23 10:45:00,4720.00,4729.25,8.40,916.60,trend
W0149,ESZ4,Long,2.0,2021-12-24 09:45:00,2021-12-24 10:45:00,5032.00,5038.25,8.40,616.60,trend
W0150,ESZ4,Short,2.0,2021-12-27 09:45:00,2021-12-27 14:45:00,4827.00,4835.50,8.40,-858.40,trend
W0151,ESZ4,Long,2.0,2021-12-28 09:45:00,2021-12-28 13:45:00,4385.00,4381.50,8.40,-358.40,trend
W0152,ESZ4,Long,2.0,2021-12-29 09:45:00,2021-12-29 12:45:00,4845.75,4847.50,8.40,166.60,trend
W0153,ESZ4,Short,2.0,2021-12-30 09:45:00,2021-12-30 11:45:00,4274.25,4271.75,8.40,241.60,trend
W0154,ESZ4,Short,2.0,2021-12-31 09:45:00,2021-12-31 10:45:00,4410.25,4411.25,8.40,-108.40,trend
W0155,ESZ4,Long,2.0,2022-01-03 09:45:00,2022-01-03 13:45:00,4602.25,4600.50,8.40,-183.40,trend
W0156,ESZ4,Long,2.0,2022-01-04 09:45:00,2022-01-04 13:45:00,4256.25,4260.25,8.40,391.60,trend
W0157,ESZ4,Long,2.0,2022-01-05 09:45:00,2022-01-05 10:45:00,4682.25,4682.50,8.40,16.60,trend
W0158,ESZ4,Long,2.0,2022-01-06 09:45:00,2022-01-06 12:45:00,4501.50,4500.00,8.40,-158.40,trend
W0159,ESZ4,Short,2.0,2022-01-07 09:45:00,2022-01-07 10:45:00,4518.00,4511.75,8.40,616.60,trend
W0160,ESZ4,Short,2.0,2022-01-10 09:45:00,2022-01-10 10:45:00,4505.25,4503.75,8.40,141.60,trend
W0161,ESZ4,Long,2.0,2022-01-11 09:45:00,2022-01-11 14:45:00,4449.00,4455.00,8.40,591.60,trend
W0162,ESZ4,Long,2.0,2022-01-12 09:45:00,2022-01-12 13:45:00,4407.25,4408.00,8.40,66.60,trend
W0163,ESZ4,Long,2.0,2022-01-13 09:45:00,2022-01-13 10:45:00,4995.00,4992.25,8.40,-283.40,trend
W0164,ESZ4,Short,2.0,2022-01-14 09:45:00,2022-01-14 13:45:00,4893.50,4893.25,8.40,16.60,trend
W0165,ESZ4,Long,2.0,2022-01-17 09:45:00,2022-01-17 14:45:00,5188.00,5190.50,8.40,241.60,trend
W0166,ESZ4,Long,2.0,2022-01-18 09:45:00,2022-01-18 10:45:00,4296.25,4305.00,8.40,866.60,trend
W0167,ESZ4,Long,2.0,2022-01-19 09:45:00,2022-01-19 11:45:00,5149.00,5148.00,8.40,-108.40,trend
W0168,ESZ4,Long,2.0,2022-01-20 09:45:00,2022-01-20 10:45:00,4382.50,4374.50,8.40,-808.40,trend
W0169,ESZ4,Short,2.0,2022-01-21 09:45:00,2022-01-21 14:45:00,4226.75,4222.50,8.40,416.60,trend
W0170,ESZ4,Short,2.0,2022-01-24 09:45:00,2022-01-24 14:45:00,5031.50,5031.75,8.40,-33.40,trend
W0171,ESZ4,Short,2.0,2022-01-25 09:45:00,2022-01-25 12:45:00,4234.25,4229.00,8.40,516.60,trend
W0172,ESZ4,Short,2.0,2022-01-26 09:45:00,2022-01-26 11:45:00,4367.75,4362.25,8.40,541.60,trend
W0173,ESZ4,Short,2.0,2022-01-27 09:45:00,2022-01-27 11:45:00,4416.75,4410.00,8.40,666.60,trend
W0174,ESZ4,Short,2.0,2022-01-28 09:45:00,2022-01-28 10:45:00,4502.00,4499.50,8.40,241.60,trend
W0175,ESZ4,Long,2.0,2022-01-31 09:45:00,2022-01-31 11:45:00,4523.25,4529.50,8.40,616.60,trend
W0176,ESZ4,Short,2.0,2022-02-01 09:45:00,2022-02-01 11:45:00,4261.00,4258.00,8.40,291.60,trend
W0177,ESZ4,Long,2.0,2022-02-02 09:45:00,2022-02-02 13:45:00,4271.75,4281.50,8.40,966.60,trend
W0178,ESZ4,Short,2.0,2022-02-03 09:45:00,2022-02-03 11:45:00,4551.00,4550.50,8.40,41.60,trend
W0179,ESZ4,Short,2.0,2022-02-04 09:45:00,2022-02-04 13:45:00,5068.00,5067.00,8.40,91.60,trend
W0180,ESZ4,Long,2.0,2022-02-07 09:45:00,2022-02-07 14:45:00,4593.00,4596.75,8.40,366.60,trend
W0181,ESZ4,Short,2.0,2022-02-08 09:45:00,2022-02-08 14:45:00,4847.25,4842.50,8.40,466.60,trend
W0182,ESZ4,Long,2.0,2022-02-09 09:45:00,2022-02-09 11:45:00,4420.50,4422.75,8.40,216.60,trend
W0183,ESZ4,Short,2.0,2022-02-10 09:45:00,2022-02-10 13:45:00,5073.25,5074.25,8.40,-108.40,trend
W0184,ESZ4,Short,2.0,2022-02-11 09:45:00,2022-02-11 10:45:00,4723.25,4722.75,8.40,41.60,trend
W0185,ESZ4,Short,2.0,2022-02-14 09:45:00,2022-02-14 13:45:00,4401.75,4396.25,8.40,541.60,trend
W0186,ESZ4,Long,2.0,2022-02-15 09:45:00,2022-02-15 13:45:00,4985.75,4987.00,8.40,116.60,trend
W0187,ESZ4,Long,2.0,2022-02-16 09:45:00,2022-02-16 11:45:00,4616.75,4612.25,8.40,-458.40,trend
W0188,ESZ4,Short,2.0,2022-02-17 09:45:00,2022-02-17 14:45:00,4392.75,4392.25,8.40,41.60,trend
W0189,ESZ4,Short,2.0,2022-02-18 09:45:00,2022-02-18 14:45:00,4379.00,4372.75,8.40,616.60,trend
W0190,ESZ4,Long,2.0,2022-02-21 09:45:00,2022-02-21 13:45:00,4293.75,4296.25,8.40,241.60,trend
W0191,ESZ4,Short,2.0,2022-02-22 09:45:00,2022-02-22 10:45:00,4462.00,4454.00,8.40,791.60,trend
W0192,ESZ4,Short,2.0,2022-02-23 09:45:00,2022-02-23 10:45:00,4900.75,4900.25,8.40,41.60,trend
W0193,ESZ4,Long,2.0,2022-02-24 09:45:00,2022-02-24 12:45:00,4411.00,4400.75,8.40,-1033.40,trend
W0194,ESZ4,Short,2.0,2022-02-25 09:45:00,2022-02-25 12:45:00,4967.25,4969.25,8.40,-208.40,trend
W0195,ESZ4,Long,2.0,2022-02-28 09:45:00,2022-02-28 13:45:00,4226.75,4232.25,8.40,541.60,trend
W0196,ESZ4,Long,2.0,2022-03-01 09:45:00,2022-03-01 10:45:00,4322.75,4321.50,8.40,-133.40,trend
W0197,ESZ4,Short,2.0,2022-03-02 09:45:00,2022-03-02 10:45:00,4262.50,4271.50,8.40,-908.40,trend
W0198,ESZ4,Short,2.0,2022-03-03 09:45:00,2022-03-03 12:45:00,4483.75,4482.75,8.40,91.60,trend
W0199,ESZ4,Long,2.0,2022-03-04 09:45:00,2022-03-04 10:45:00,5165.00,5159.25,8.40,-583.40,trend
W0200,ESZ4,Short,2.0,2022-03-07 09:45:00,2022-03-07 13:45:00,4337.00,4335.00,8.40,191.60,trend
W0201,ESZ4,Short,2.0,2022-03-08 09:45:00,2022-03-08 11:45:00,4788.50,4785.00,8.40,341.60,trend
W0202,ESZ4,Long,2.0,2022-03-09 09:45:00,2022-03-09 12:45:00,4410.25,4407.50,8.40,-283.40,trend
W0203,ESZ4,Short,2.0,2022-03-10 09:45:00,2022-03-10 13:45:00,5101.50,5093.50,8.40,791.60,trend
W0204,ESZ4,Long,2.0,2022-03-11 09:45:00,2022-03-11 14:45:00,4614.50,4607.50,8.40,-708.40,trend
W0205,ESZ4,Long,2.0,2022-03-14 09:45:00,2022-03-14 12:45:00,5123.50,5124.00,8.40,41.60,trend
W0206,ESZ4,Long,2.0,2022-03-15 09:45:00,2022-03-15 10:45:00,4207.00,4208.00,8.40,91.60,trend
W0207,ESZ4,Short,2.0,2022-03-16 09:45:00,2022-03-16 14:45:00,5064.00,5065.00,8.40,-108.40,trend
W0208,ESZ4,Short,2.0,2022-03-17 09:45:00,2022-03-17 14:45:00,4630.50,4625.75,8.40,466.60,trend
W0209,ESZ4,Long,2.0,2022-03-18 09:45:00,2022-03-18 10:45:00,4532.25,4532.75,8.40,41.60,trend
W0210,ESZ4,Short,2.0,2022-03-21 09:45:00,2022-03-21 11:45:00,4365.25,4361.50,8.40,366.60,trend
W0211,ESZ4,Short,2.0,2022-03-22 09:45:00,2022-03-22 14:45:00,5035.75,5035.25,8.40,41.60,trend
W0212,ESZ4,Long,2.0,2022-03-23 09:45:00,2022-03-23 11:45:00,4925.75,4922.25,8.40,-358.40,trend
W0213,ESZ4,Long,2.0,2022-03-24 09:45:00,2022-03-24 12:45:00,4301.50,4305.00,8.40,341.60,trend
W0214,ESZ4,Long,2.0,2022-03-25 09:45:00,2022-03-25 11:45:00,4583.50,4587.25,8.40,366.60,trend
W0215,ESZ4,Long,2.0,2022-03-28 09:45:00,2022-03-28 13:45:00,4771.00,4765.50,8.40,-558.40,trend
